Compounds Name,aflowlib.org name,,ZX,,,ZAB,,ZAB,mX,,,,mAB,∆mAB,rowX,rowAB,∆rowAB,colX,colAB,∆colAB,eX,eAB,∆eAB,rX,rAB,∆rAB,χX,χAB,∆χAB,alatt,gap,cv,cs,κ˜grain,103P3,κtransf,κforest,κanh,class
BiLiMg,Bi1Li1Mg1.T0003.CAB,,83,,,7.50,,9,208.98,,,,15.62,17.36,6,2.50,1,15,1.50,1,2.02,1.15,0.33,160,147.50,5,2.04,0.86,0.83,6.56,0.44,16.14,2.15,0.51,5.76,0.74,3.61,9.43,LOW
BiLiSr,Bi1Li1Sr1.T0003.CAB,,83,,,20.50,,35,208.98,,,,47.28,80.68,6,3.50,3,15,1.50,1,2.02,0.96,0.03,160,172.50,55,2.04,0.50,0.10,7.21,1.19,12.61,1.59,0.27,3.35,0.50,2.72,2.40,LOW
BiNaSr,Bi1Na1Sr1.T0003.CAB,,83,,,24.50,,27,208.98,,,,55.30,64.63,6,4,2,15,1.50,1,2.02,0.94,0.02,160,190,20,2.04,0.47,0.15,7.58,0.87,11.17,1.79,0.39,7.75,0.61,2.49,1.83,LOW
CaBrCl,Br1Ca1Cl1.T0003.ABC,,20,,,26,,18,40.08,,,,57.68,44.45,4,3.50,1,2,17,0,1,3.06,0.20,180,107.50,15,0.60,2.67,0.06,6.71,4.37,15.78,3.72,0.77,6.67,0.53,21.02,0.83,HIGH
ClBaK,Ba1Cl1K1.T0003.ABC,,17,,,37.50,,37,35.45,,,,88.21,98.23,3,5,2,17,1.50,1,3.16,0.85,0.07,100,217.50,5,2.70,0.42,0.15,7.41,0.17,12.04,2.36,0.42,11.27,0.01,4.77,0.23,LOW
CoAsHf,As1Co1Hf1.T0003.ABC,,27,,,52.50,,39,58.93,,,,126.71,103.57,4,5,2,9,9.50,11,1.88,1.74,0.88,135,135,40,1.04,1.47,1.39,5.68,1.27,25.01,3.42,0.90,3.80,85.16,28.36,19.99,HIGH
CoAsTi,As1Co1Ti1.T0003.ABC,,27,,,27.50,,11,58.93,,,,61.39,27.05,4,4,0,9,9.50,11,1.88,1.86,0.64,135,127.50,25,1.04,1.48,1.37,5.49,1.30,26.67,4.42,1.44,1.41,269.61,22.94,37.06,HIGH
CoAsZr,As1Co1Zr1.T0003.ABC,,27,,,36.50,,7,58.93,,,,83.07,16.30,4,4.50,1,9,9.50,11,1.88,1.75,0.85,135,135,40,1.04,1.46,1.40,5.73,1.20,24.14,3.98,1.49,0.68,310.91,23.23,27.72,HIGH
CoBiHf,Bi1Co1Hf1.T0003.ABC,,27,,,77.50,,11,58.93,,,,193.74,30.49,4,6,0,9,9.50,11,1.88,1.66,0.72,135,157.50,5,1.04,1.41,1.26,6.04,0.96,21.31,2.85,0.97,6.37,81.88,21.30,22.47,HIGH
CoBiTi,Bi1Co1Ti1.T0003.ABC,,27,,,52.50,,61,58.93,,,,128.42,161.11,4,5,2,9,9.50,11,1.88,1.78,0.48,135,150,20,1.04,1.42,1.25,5.89,0.89,22.50,3.05,0.80,2.41,165.47,34.86,27.10,HIGH
